Date,Price,Open,High,Low
11/12/2014,1.1314,1.1336,1.1361,1.1279
11/13/2014,1.1365,1.1319,1.1393,1.1298
11/14/2014,1.1287,1.1367,1.1395,1.1262
11/17/2014,1.1303,1.1287,1.1329,1.1268
11/18/2014,1.1294,1.1307,1.1325,1.1257
11/19/2014,1.134,1.1296,1.1361,1.1293
11/20/2014,1.1298,1.1342,1.137,1.129
11/21/2014,1.1229,1.1307,1.1328,1.1191
11/24/2014,1.1277,1.1242,1.1314,1.1224
11/25/2014,1.1256,1.1279,1.1318,1.123
11/26/2014,1.1242,1.1261,1.1299,1.1226
11/27/2014,1.1327,1.1247,1.1356,1.1233
11/28/2014,1.1413,1.133,1.1446,1.1325
12/1/2014,1.1328,1.1422,1.146,1.1312
12/2/2014,1.1405,1.133,1.1425,1.1315
12/3/2014,1.1362,1.1411,1.142,1.1345
12/4/2014,1.1384,1.1365,1.1399,1.1338
12/5/2014,1.1438,1.1384,1.1477,1.1376
12/8/2014,1.1478,1.1446,1.1487,1.1424
12/9/2014,1.1442,1.1481,1.1502,1.1396
