order_id,order_number,order_date,fk_order_date,fk_customer,fk_product,order_item_id,unit_price,discount_value,price_paid
27206162,448739474,2021-03-11,20210311,1064,35148,27232514,133.95,0.00,133.95
27290594,424309074,2021-03-11,20210311,3666,35138,27316946,154.99,100.00,54.99
27303138,515905074,2021-03-11,20210311,2027,6572,27329490,11.94,11.94,0.00
27388658,436927074,2021-03-18,20210318,2027,35154,27415010,119.90,0.00,119.90
27394316,456747074,2021-03-18,20210318,1064,35148,27420668,133.95,0.00,133.95
27402062,573328274,2021-03-18,20210318,2027,6572,27428414,11.94,11.94,0.00
27403538,579388274,2021-03-18,20210318,1064,24454,27429890,4.99,4.99,0.00
27641142,509368914,2021-03-25,20210325,2027,35154,27667494,119.90,0.00,119.90
27653016,599984914,2021-03-25,20210325,1064,35148,27679368,133.95,0.00,133.95
27866002,469746514,2021-03-30,20210330,1064,35148,27892354,133.95,0.00,133.95
27883878,497069314,2021-03-31,20210331,1064,35148,27910230,133.95,0.00,133.95
27890724,591965314,2021-04-01,20210401,2027,35154,27917076,119.90,0.00,119.90
27906804,507913314,2021-04-01,20210401,1064,6572,27933156,5.98,5.98,0.00
27907372,536313314,2021-04-01,20210401,2027,6572,27933724,25.90,25.90,0.00
28164590,453397714,2021-04-08,20210408,2027,35146,28190938,78.93,0.00,78.93
28175274,505455714,2021-04-08,20210408,1064,35148,28201626,133.95,0.00,133.95
28343364,482267514,2021-04-11,20210411,3666,35138,28369716,154.99,55.00,99.99
28424182,475251114,2021-04-15,20210415,2027,35154,28450534,119.90,0.00,119.90
28433236,477631114,2021-04-15,20210415,1064,35148,28459588,133.95,0.00,133.95
28440736,543583114,2021-04-15,20210415,1064,6572,28467088,11.96,11.96,0.00
28441074,586383114,2021-04-15,20210415,2027,6572,28467426,25.90,25.90,0.00
28691598,599166714,2021-04-22,20210422,2027,35150,28717950,99.98,0.00,99.98
28693390,478746714,2021-04-22,20210422,1064,35148,28719740,133.95,0.00,133.95
28697682,586266714,2021-04-22,20210422,1064,6572,28724034,7.96,7.96,0.00
